PLAYER_NAME,TEAM,GP,MP,BPM,OBPM,DBPM,VORP
Thomas Bryant,MIA,10,115,0.0,-1.1,1.1,0.1
Thomas Bryant,IND,56,848,0.7,0.9,-0.2,0.6
Jalen Smith,CHI,64,962,0.9,1.5,-0.6,0.7
Jordan Clarkson,UTA,37,962,-1.5,0.6,-2.1,0.1
Gary Payton II,GSW,62,927,1.4,-0.5,2.0,0.8
Brandon Miller,CHO,27,924,0.0,0.8,-0.8,0.4
Bruce Brown,2TM,41,922,-3.8,-3.2,-0.6,-0.4
Bruce Brown,TOR,18,353,-2.5,-2.7,0.2,0.0
Bruce Brown,NOP,23,569,-4.6,-3.4,-1.2,-0.4
Immanuel Quickley,TOR,33,918,2.2,3.2,-1.0,1.0
Trendon Watford,BRK,44,913,-3.1,-2.3,-0.8,-0.3
KJ Martin,2TM,43,912,-3.6,-3.2,-0.3,-0.4
KJ Martin,PHI,24,480,-1.7,-2.1,0.3,0.0
KJ Martin,UTA,19,432,-5.6,-4.6,-1.1,-0.4
Jaden Hardy,DAL,57,907,-4.7,-2.8,-1.9,-0.6
Day'Ron Sharpe,BRK,50,907,0.9,0.0,0.9,0.7
Adem Bona,PHI,58,905,-2.7,-2.9,0.2,-0.2
Tre Jones,2TM,46,905,1.5,0.5,1.0,0.8
Tre Jones,SAS,28,450,-0.1,-1.2,1.1,0.2
Tre Jones,CHI,18,455,3.1,2.1,1.0,0.6
Jaden Ivey,DET,30,898,0.0,0.8,-0.8,0.5
Kelly Olynyk,2TM,44,891,-0.7,-1.1,0.4,0.3
Kelly Olynyk,TOR,24,383,0.2,-0.7,0.9,0.2
Kelly Olynyk,NOP,20,508,-1.4,-1.4,0.0,0.1
Chet Holmgren,OKC,32,877,2.4,0.5,1.9,1.0
Neemias Queta,BOS,62,863,-0.7,-1.7,1.0,0.3
Alec Burks,MIA,49,863,0.3,0.0,0.3,0.5
Chris Boucher,TOR,50,862,2.3,2.9,-0.6,0.9
Zion Williamson,NOP,30,857,7.0,5.9,1.0,1.9
Khris Middleton,2TM,37,843,0.7,0.4,0.3,0.6
Khris Middleton,MIL,23,534,2.2,1.7,0.6,0.6
Khris Middleton,WAS,14,309,-2.0,-1.9,-0.1,0.0
KJ Simpson,CHO,36,842,-5.4,-4.5,-0.9,-0.7
Shake Milton,2TM,57,837,-2.2,-1.7,-0.5,0.0
Shake Milton,BRK,27,492,-0.9,-0.8,-0.2,0.1
Shake Milton,LAL,30,345,-4.0,-3.1,-0.9,-0.2
