PLAYER_NAME,TEAM,AGE,GP,MIN,NET_RATING,OFF_RATING,DEF_RATING,USG_PCT,TS_PCT,AST_PCT,PIE,PACE,POSS,SEASON
"Luke Kornet",BOS,29,73,18.6,14.9,121.2,106.3,0.111,0.683,0.115,0.114,95.87,2717,2024-25
"Luke Travers",CLE,23,12,7.3,-0.5,109.1,109.7,0.132,0.287,0.113,0.022,101.62,186,2024-25
"Mac McClung",ORL,26,2,5.1,-9.5,119,128.6,0.087,0,0.333,0,98.5,21,2024-25
"Malachi Flynn",SAS,27,4,10.9,3.7,112.8,109.1,0.196,0.512,0.233,0.084,95.6,86,2024-25
"Malaki Branham",SAS,22,47,9.1,-3.7,106.1,109.8,0.233,0.575,0.139,0.087,103.25,918,2024-25
"Malcolm Brogdon",WAS,32,24,23.5,-10.4,106.5,116.9,0.231,0.544,0.267,0.113,103.18,1215,2024-25
"Malevy Leons",OKC,25,6,3.5,-43.3,61.4,104.7,0.102,0.266,0.111,-0.069,99.59,44,2024-25
"Malik Beasley",DET,28,82,27.8,3.1,113.3,110.2,0.215,0.59,0.089,0.091,102.76,4898,2024-25
"Malik Monk",SAC,27,65,31.6,2.5,117,114.5,0.236,0.549,0.246,0.099,101.33,4339,2024-25
"MarJon Beauchamp",NYK,24,35,4.5,2.9,94.8,92,0.222,0.535,0.124,0.123,106.73,347,2024-25
"Marcus Bagley",PHI,23,10,25.3,-15.9,101.1,117,0.128,0.456,0.056,0.077,102.58,542,2024-25
"Marcus Garrett",CHA,26,4,19.8,-23.6,95.6,119.3,0.193,0.487,0.255,0.057,97.05,160,2024-25
"Marcus Sasser",DET,24,57,14.2,2.9,110.4,107.5,0.187,0.589,0.239,0.095,102,1719,2024-25
"Marcus Smart",WAS,31,34,20,2.6,109.9,107.3,0.198,0.529,0.221,0.086,107.13,1520,2024-25
"Mark Williams",CHA,23,44,26.6,-12.7,106.3,118.9,0.21,0.647,0.154,0.156,100.77,2463,2024-25
"Markelle Fultz",SAC,27,21,8.8,3.6,109.3,105.7,0.196,0.452,0.208,0.065,99.36,377,2024-25
"Markieff Morris",LAL,35,15,11,-7.8,106.1,113.9,0.202,0.385,0.191,0.045,100.86,345,2024-25
"Marvin Bagley III",MEM,26,31,8.6,-0.6,108.2,108.8,0.2,0.56,0.063,0.123,103.88,571,2024-25
"Mason Jones",SAC,26,10,4.5,2.2,107.4,105.3,0.193,0.569,0.379,0.159,99.93,94,2024-25
"Mason Plumlee",PHX,35,74,17.6,0.2,115.2,115,0.105,0.645,0.133,0.098,100.08,2732,2024-25
"Matas Buzelis",CHI,20,80,18.9,-1.7,110.4,112.1,0.181,0.571,0.072,0.079,105.38,3328,2024-25
"Matisse Thybulle",POR,28,15,20.8,0.2,105.3,105.1,0.135,0.592,0.126,0.114,102.37,666,2024-25
"Matt Ryan",NOP,28,19,3.6,-28.3,80.5,108.8,0.208,0.439,0.083,0.062,104.75,149,2024-25
"Max Christie",DAL,22,78,27.3,-1.7,112.6,114.3,0.15,0.57,0.093,0.069,100.27,4440,2024-25
"Max Strus",CLE,29,50,25.5,7.9,120.1,112.2,0.143,0.607,0.157,0.083,101.34,2691,2024-25
"Maxi Kleber",LAL,33,34,18.7,-0.4,111.9,112.3,0.085,0.489,0.087,0.035,101.75,1345,2024-25
"Maxwell Lewis",BKN,22,28,11.7,-9.6,101.2,110.7,0.164,0.516,0.091,0.066,99.39,677,2024-25
"Micah Potter",UTA,27,38,18.6,-7.6,108.6,116.2,0.102,0.563,0.058,0.063,101.29,1492,2024-25
"Michael Porter Jr.",DEN,27,77,33.7,4.4,119.8,115.4,0.197,0.617,0.084,0.101,101.52,5494,2024-25
"Mikal Bridges",NYK,28,82,37,5.6,118.4,112.9,0.192,0.585,0.141,0.09,98.1,6200,2024-25
"Mike Conley",MIN,37,71,24.7,6.5,115.5,109,0.141,0.573,0.243,0.092,97.92,3596,2024-25
"Miles Bridges",CHA,27,64,31.7,-5.5,108.2,113.6,0.273,0.541,0.203,0.135,100.58,4239,2024-25
"Miles McBride",NYK,24,64,24.9,7.1,116.8,109.7,0.162,0.531,0.155,0.077,99.2,3283,2024-25
"Miles Norris",BOS,25,3,11.6,-23.2,87.7,110.9,0.127,0.354,0,0.088,88.67,65,2024-25
"Mitchell Robinson",NYK,27,17,17.1,5.7,113.8,108.2,0.109,0.676,0.062,0.122,96.37,578,2024-25
"Mo Bamba",NOP,27,32,12.9,-9,103.5,112.5,0.15,0.557,0.068,0.1,98.15,846,2024-25
"Monte Morris",PHX,30,45,12.7,2.8,111.1,108.3,0.173,0.546,0.188,0.096,99.99,1195,2024-25
